HORVU1Hr1G000030	HORVU.MOREX.r3.1HG0000030	1H	76744	77373	1H	76101	78185	630
HORVU1Hr1G000020	HORVU.MOREX.r3.1HG0000040	1H	78284	81892	1H	78278	81922	3609
HORVU1Hr1G000010	HORVU.MOREX.r3.1HG0000050	1H	84091	87063	1H	83719	87219	2973
HORVU1Hr1G000060	HORVU.MOREX.r3.1HG0000060	1H	132221	138736	1H	132165	138783	6516
HORVU1Hr1G000080	HORVU.MOREX.r3.1HG0000070	1H	146607	148562	1H	146430	148580	1956
HORVU1Hr1G000090	HORVU.MOREX.r3.1HG0000080	1H	152919	156330	1H	152134	156221	3303
HORVU1Hr1G000110	HORVU.MOREX.r3.1HG0000090	1H	156767	159868	1H	156731	159979	3102
HORVU1Hr1G000140	HORVU.MOREX.r3.1HG0000110	1H	173586	179073	1H	173536	179291	5488
HORVU1Hr1G000290	HORVU.MOREX.r3.1HG0000130	1H	376513	387660	1H	376397	387997	11148
HORVU1Hr1G000270	HORVU.MOREX.r3.1HG0000140	1H	409649	413586	1H	409641	413576	3928
HORVU1Hr1G000260	HORVU.MOREX.r3.1HG0000210	1H	539356	543436	1H	538658	544228	4081
HORVU1Hr1G000250	HORVU.MOREX.r3.1HG0000220	1H	579618	585987	1H	579116	586605	6370
HORVU1Hr1G000240	HORVU.MOREX.r3.1HG0000230	1H	592132	592473	1H	592030	592503	342
HORVU1Hr1G000230	HORVU.MOREX.r3.1HG0000240	1H	593582	596593	1H	593067	596559	2978
HORVU1Hr1G000210	HORVU.MOREX.r3.1HG0000250	1H	603056	607068	1H	602739	607658	4013
HORVU1Hr1G000160	HORVU.MOREX.r3.1HG0000260	1H	669249	670359	1H	669249	670358	1110
HORVU1Hr1G000170	HORVU.MOREX.r3.1HG0000270	1H	673211	673833	1H	672886	673842	623
HORVU1Hr1G000190	HORVU.MOREX.r3.1HG0000280	1H	710859	715963	1H	710507	716043	5105
HORVU1Hr1G000320	HORVU.MOREX.r3.1HG0000340	1H	1141088	1148147	1H	1140978	1148592	7060
HORVU1Hr1G000370	HORVU.MOREX.r3.1HG0000360	1H	1166807	1169702	1H	1165363	1169724	2896
HORVU1Hr1G000340	HORVU.MOREX.r3.1HG0000390	1H	1199200	1201478	1H	1199213	1201566	2266
HORVU1Hr1G000440	HORVU.MOREX.r3.1HG0000450	1H	1444203	1445966	1H	1412806	1501176	1764
HORVU1Hr1G000470	HORVU.MOREX.r3.1HG0000450	1H	1444203	1445966	1H	1443968	1446232	1764
HORVU1Hr1G000440	HORVU.MOREX.r3.1HG0000460	1H	1453026	1457443	1H	1412806	1501176	4418
HORVU1Hr1G000350	HORVU.MOREX.r3.1HG0000460	1H	1453026	1457443	1H	1452767	1558019	4418
HORVU1Hr1G000440	HORVU.MOREX.r3.1HG0000470	1H	1474564	1476642	1H	1412806	1501176	2079
HORVU1Hr1G000350	HORVU.MOREX.r3.1HG0000470	1H	1474564	1476642	1H	1452767	1558019	2079
HORVU1Hr1G000450	HORVU.MOREX.r3.1HG0000470	1H	1474564	1476642	1H	1474384	1476635	2072
HORVU1Hr1G000440	HORVU.MOREX.r3.1HG0000480	1H	1499093	1501176	1H	1412806	1501176	2084
HORVU1Hr1G000350	HORVU.MOREX.r3.1HG0000480	1H	1499093	1501176	1H	1452767	1558019	2084
HORVU1Hr1G000350	HORVU.MOREX.r3.1HG0000490	1H	1511418	1513470	1H	1452767	1558019	2053
HORVU1Hr1G000430	HORVU.MOREX.r3.1HG0000490	1H	1511418	1513470	1H	1511360	1513588	2053
HORVU1Hr1G000350	HORVU.MOREX.r3.1HG0000520	1H	1549952	1552881	1H	1452767	1558019	2930
HORVU1Hr1G000350	HORVU.MOREX.r3.1HG0000530	1H	1555790	1556539	1H	1452767	1558019	750
HORVU1Hr1G000400	HORVU.MOREX.r3.1HG0000530	1H	1555790	1556539	1H	1555790	1556636	750
HORVU0Hr1G000020	HORVU.MOREX.r3.1HG0000580	1H	1585712	1593597	1H	1585669	1606169	7886
HORVU0Hr1G000020	HORVU.MOREX.r3.1HG0000590	1H	1596612	1596974	1H	1585669	1606169	363
HORVU0Hr1G000030	HORVU.MOREX.r3.1HG0000590	1H	1596612	1596974	1H	1596158	1606183	363
HORVU0Hr1G000020	HORVU.MOREX.r3.1HG0000600	1H	1599491	1601784	1H	1585669	1606169	2294
HORVU0Hr1G000030	HORVU.MOREX.r3.1HG0000600	1H	1599491	1601784	1H	1596158	1606183	2294
HORVU0Hr1G000020	HORVU.MOREX.r3.1HG0000610	1H	1602945	1606151	1H	1585669	1606169	3207
HORVU0Hr1G000030	HORVU.MOREX.r3.1HG0000610	1H	1602945	1606151	1H	1596158	1606183	3207
HORVU1Hr1G000530	HORVU.MOREX.r3.1HG0000620	1H	1613941	1621779	1H	1617850	1621842	3930
HORVU1Hr1G000520	HORVU.MOREX.r3.1HG0000630	1H	1630936	1636720	1H	1630926	1638365	5785
HORVU1Hr1G000620	HORVU.MOREX.r3.1HG0000660	1H	1706754	1712567	1H	1706719	1713146	5814
HORVU1Hr1G000600	HORVU.MOREX.r3.1HG0000670	1H	1725335	1728063	1H	1725128	1728065	2729
HORVU1Hr1G000590	HORVU.MOREX.r3.1HG0000680	1H	1728977	1730259	1H	1728433	1730487	1283
HORVU1Hr1G000560	HORVU.MOREX.r3.1HG0000690	1H	1753936	1757170	1H	1753154	1757420	3235
HORVU1Hr1G000550	HORVU.MOREX.r3.1HG0000710	1H	1765837	1771516	1H	1767118	1771562	4399
HORVU1Hr1G000660	HORVU.MOREX.r3.1HG0000730	1H	1820956	1824583	1H	1820718	1828167	3628
HORVU1Hr1G000680	HORVU.MOREX.r3.1HG0000800	1H	1917886	1918803	1H	1917825	1918946	918
HORVU1Hr1G000700	HORVU.MOREX.r3.1HG0000810	1H	2061272	2062303	1H	2061211	2062448	1032
HORVU1Hr1G000710	HORVU.MOREX.r3.1HG0000850	1H	2083156	2086559	1H	2083110	2086584	3404
HORVU1Hr1G000720	HORVU.MOREX.r3.1HG0000870	1H	2100234	2101977	1H	2100101	2107440	1744
HORVU1Hr1G000720	HORVU.MOREX.r3.1HG0000880	1H	2105889	2106453	1H	2100101	2107440	565
HORVU1Hr1G000810	HORVU.MOREX.r3.1HG0000950	1H	2262516	2269336	1H	2262490	2269422	6821
HORVU1Hr1G000830	HORVU.MOREX.r3.1HG0000990	1H	2301095	2305883	1H	2298621	2306346	4789
HORVU1Hr1G000910	HORVU.MOREX.r3.1HG0001010	1H	2321790	2326362	1H	2322053	2327399	4310
HORVU1Hr1G000900	HORVU.MOREX.r3.1HG0001020	1H	2358479	2362796	1H	2358059	2365519	4318
HORVU1Hr1G000860	HORVU.MOREX.r3.1HG0001030	1H	2389468	2394114	1H	2386999	2394453	4647
HORVU1Hr1G000920	HORVU.MOREX.r3.1HG0001050	1H	2497979	2499050	1H	2497720	2499153	1072
HORVU1Hr1G001080	HORVU.MOREX.r3.1HG0001110	1H	2574522	2575037	1H	2574771	2575050	267
HORVU1Hr1G000940	HORVU.MOREX.r3.1HG0001120	1H	2577003	2580483	1H	2577045	2580726	3439
HORVU1Hr1G000960	HORVU.MOREX.r3.1HG0001130	1H	2582508	2586544	1H	2582434	2586591	4037
HORVU1Hr1G001090	HORVU.MOREX.r3.1HG0001140	1H	2588537	2589323	1H	2588105	2589318	782
HORVU1Hr1G001060	HORVU.MOREX.r3.1HG0001190	1H	2658716	2659869	1H	2658643	2660038	1154
HORVU1Hr1G000990	HORVU.MOREX.r3.1HG0001210	1H	2703911	2705205	1H	2684867	2888741	1295
HORVU1Hr1G000990	HORVU.MOREX.r3.1HG0001220	1H	2765170	2765589	1H	2684867	2888741	420
HORVU1Hr1G001120	HORVU.MOREX.r3.1HG0001220	1H	2765170	2765589	1H	2764652	2856994	420
HORVU1Hr1G000990	HORVU.MOREX.r3.1HG0001230	1H	2775507	2776400	1H	2684867	2888741	894
HORVU1Hr1G001120	HORVU.MOREX.r3.1HG0001230	1H	2775507	2776400	1H	2764652	2856994	894
HORVU1Hr1G001140	HORVU.MOREX.r3.1HG0001230	1H	2775507	2776400	1H	2775465	2776577	894
HORVU1Hr1G000990	HORVU.MOREX.r3.1HG0001250	1H	2784441	2787658	1H	2684867	2888741	3218
HORVU1Hr1G001120	HORVU.MOREX.r3.1HG0001250	1H	2784441	2787658	1H	2764652	2856994	3218
HORVU1Hr1G001160	HORVU.MOREX.r3.1HG0001250	1H	2784441	2787658	1H	2784441	2787641	3201
HORVU1Hr1G000990	HORVU.MOREX.r3.1HG0001260	1H	2823369	2823862	1H	2684867	2888741	494
HORVU1Hr1G001120	HORVU.MOREX.r3.1HG0001260	1H	2823369	2823862	1H	2764652	2856994	494
HORVU1Hr1G000990	HORVU.MOREX.r3.1HG0001270	1H	2832554	2834879	1H	2684867	2888741	2326
HORVU1Hr1G001120	HORVU.MOREX.r3.1HG0001270	1H	2832554	2834879	1H	2764652	2856994	2326
HORVU1Hr1G001170	HORVU.MOREX.r3.1HG0001270	1H	2832554	2834879	1H	2832554	2833755	1202
HORVU1Hr1G000990	HORVU.MOREX.r3.1HG0001280	1H	2874081	2875407	1H	2684867	2888741	1327
HORVU1Hr1G001220	HORVU.MOREX.r3.1HG0001280	1H	2874081	2875407	1H	2871384	2875396	1316
HORVU1Hr1G001350	HORVU.MOREX.r3.1HG0001330	1H	2971082	2971501	1H	2970580	2971665	420
HORVU1Hr1G001390	HORVU.MOREX.r3.1HG0001400	1H	3192134	3199174	1H	3192056	3199176	7041
HORVU1Hr1G001400	HORVU.MOREX.r3.1HG0001410	1H	3203351	3207774	1H	3203102	3208154	4424
HORVU1Hr1G001420	HORVU.MOREX.r3.1HG0001420	1H	3260544	3261440	1H	3260516	3261558	897
HORVU1Hr1G001440	HORVU.MOREX.r3.1HG0001450	1H	3324899	3325726	1H	3324653	3332330	828
HORVU1Hr1G001450	HORVU.MOREX.r3.1HG0001460	1H	3335272	3339572	1H	3334965	3339881	4301
HORVU1Hr1G001460	HORVU.MOREX.r3.1HG0001470	1H	3576852	3580707	1H	3576432	3582004	3856
HORVU1Hr1G001480	HORVU.MOREX.r3.1HG0001480	1H	3588727	3589029	1H	3588121	3589108	303
HORVU1Hr1G001490	HORVU.MOREX.r3.1HG0001510	1H	3636585	3640287	1H	3636256	3640402	3703
HORVU1Hr1G001500	HORVU.MOREX.r3.1HG0001540	1H	3668497	3669875	1H	3668577	3669887	1299
HORVU0Hr1G000050	HORVU.MOREX.r3.1HG0001670	1H	3833434	3834168	1H	3833773	3834364	396
HORVU0Hr1G039890	HORVU.MOREX.r3.1HG0001800	1H	4119119	4121475	1H	4120222	4121754	1254
HORVU1Hr1G001670	HORVU.MOREX.r3.1HG0001880	1H	4298978	4302264	1H	4298632	4303575	3287
HORVU1Hr1G001660	HORVU.MOREX.r3.1HG0001880	1H	4298978	4302264	1H	4298767	4305482	3287
HORVU1Hr1G001660	HORVU.MOREX.r3.1HG0001890	1H	4302769	4305343	1H	4298767	4305482	2575
HORVU1Hr1G001510	HORVU.MOREX.r3.1HG0001910	1H	4323352	4325532	1H	4307272	4343508	2181
HORVU1Hr1G001630	HORVU.MOREX.r3.1HG0001910	1H	4323352	4325532	1H	4323352	4326123	2181
HORVU1Hr1G001510	HORVU.MOREX.r3.1HG0001920	1H	4331866	4333462	1H	4307272	4343508	1597
HORVU1Hr1G001510	HORVU.MOREX.r3.1HG0001930	1H	4334488	4336023	1H	4307272	4343508	1536
HORVU1Hr1G001510	HORVU.MOREX.r3.1HG0001940	1H	4341158	4342663	1H	4307272	4343508	1506
HORVU1Hr1G001610	HORVU.MOREX.r3.1HG0001940	1H	4341158	4342663	1H	4340654	4342747	1506
